part_number,description,on_hand,unit_cost,aging_days,warehouse,agm_code,li_code
47632774001,"GARAGE OPENER, SINGLE  homelink",88,35.0,30,A,X,X
47632775001,"GARAGE OPENER, 6PACK homelink",88,35.0,30,A,X,X
47656025001,"KIT, TPMS",88,250.0,30,A,X,X
47726815001,"INSTL, WINDSHIELD",88,180.0,30,A,DR,DR
47726816001,"INSTL, ROOF, TINT",88,310.0,30,A,DR,DR
47726816002,"INSTL ROOF, SOLID BLACK",88,310.0,30,A,X,X
47726818001,"INSTL, WASHER",88,250.0,30,A,X,X
47726819001,"OPTION, EXTERIOR BODY, BLUE",88,35.0,30,A,X,X
47726819002,"OPTION, EXTER BODY, MAG SLVR",88,35.0,30,A,X,X
47726819003,"OPTION, EXTER BODY, TUX BLK",88,35.0,30,A,X,X
47726819004,"OPTION, EXTER BODY, SPEC WHT",88,35.0,30,A,DR,DR
47726819005,"OPTION,EXT BODY, MYST BLK,MAT",88,35.0,30,A,X,X
47726819006,"OPT, EXT BODY, TI GREY, MAT",88,35.0,30,A,X,X
47726819007,"OPT, EXT BODY, PWR RED, MAT",88,35.0,30,A,X,X
47726819010,"OPTION, EXTER BODY, NON STD",88,35.0,30,A,X,X
47736438001,"INSTL, HIP RESTRAINT, FRONT",31,77.07,30,A,DR,
47736438002,"INSTL, HIP RESTRAINT, PS",88,250.0,30,A,X,DR
47736448001,"KIT, LOUNGE TABLE,BEIGE",88,250.0,30,A,X,X
47736448002,"KIT, LOUNGE TABLE,DARK GREY",88,250.0,30,A,X,X
47742413001,"INSTL DECAL, CARB",31,12.0,30,A,X,
47742413001,"INSTL DECAL, CARB",88,12.0,30,A,DR,DR
47750977001,"OPTION, SEATS, SANDY BEIGE",88,220.0,30,A,DR,DR
47750977002,"OPTION, SEATS, BLACK",88,220.0,30,A,X,X
47750977003,"OPTION, SEATS, DIAMOND WHITE",88,220.0,30,A,X,X
47750977030,"OPTION, SEATS, NON STD",88,220.0,30,A,X,X
47750981001,"INSTL, CHARGING SYSTEM",31,250.0,30,A,DR,
47750981002,"INSTL, CHARGING SYSTEM, B",31,250.0,30,A,DR,
47751816001,"INSTL, WINDSHIELD WIPER",88,180.0,30,A,X,X
47751825001,"INSTL, DECALS, SAFETY, MECH",88,11.68,30,A,DR,DR
47751825002,"INSTL, DECAL, SFTY, MECH, CAN",88,12.0,30,A,X,X
47752673001,"INSTL, SPEAKER SYSTEM, FRONT",31,250.0,30,A,X,
47752673002,"INSTL,SPKR SYSTEM,FRONT,STY A",57,250.0,30,A,,X
47756688001,"INSTL, ELECTRICAL SYS, CRU",31,250.0,30,A,DR,
47756688002,"INSTL, ELEC SYS, CRU, EMC MCU",31,1450.0,30,A,X,
47756783001,"INSTL, REFLCTR, TRIANGLE, REAR",88,250.0,30,A,X,X
47765017001,"INSTL, MIRRORS, SAPPHIRE",36,65.0,30,A,X,X
47765017002,"INSTL, MIRRORS, MAG SLVR",88,65.0,30,A,X,X
47765017003,"INSTL, MIRRORS, TUX BLK",88,65.0,30,A,X,X
47765017004,"INSTL, MIRRORS, SPEC WHT",88,65.0,30,A,X,X
47765017006,"INSTL, MIRRORS, MYST BLK, MAT",88,65.0,30,A,X,X
47765017007,"INSTL, MIRRORS, TI GREY, MAT",88,65.0,30,A,X,X
47765017008,"INSTL, MIRRORS, PWR RED, MAT",88,65.0,30,A,X,X
47765017010,"INSTL, MIRRORS, NS",88,65.0,30,A,X,X
47765017101,"INSTL, MIRRORS, BLACK",88,65.0,30,A,DR,DR
47765017501,"KIT, MIRRORS, LH, SAPPHIRE",88,65.0,30,A,X,X
47765017502,"KIT, MIRRORS, LH, MAG SLVR",88,65.0,30,A,X,X
47765017503,"KIT, MIRRORS, LH, TUX BLK",88,65.0,30,A,X,X
47765017504,"KIT, MIRRORS, LH, SPEC WHT",88,65.0,30,A,X,X
47765017506,"KIT, MIRRORS, LH, MYST BLK,MAT",88,65.0,30,A,X,X
47765017507,"KIT, MIRRORS, LH, TI GREY, MAT",88,65.0,30,A,X,X
47765017508,"KIT, MIRRORS, LH, PWR RED, MAT",88,65.0,30,A,X,X
47765017601,"KIT, MIRRORS, LH,  BLACK",88,65.0,30,A,X,X
47765017701,"KIT, MIRRORS, RH, SAPPHIRE",88,65.0,30,A,X,X
47765017702,"KIT, MIRRORS, RH, MAG SLVR",88,65.0,30,A,X,X
47765017703,"KIT, MIRRORS, RH, TUX BLK",88,65.0,30,A,X,X
47765017704,"KIT, MIRRORS, RH, SPEC WHT",88,65.0,30,A,X,X
47765017706,"KIT, MIRRORS, RH, MYST BLK,MAT",88,65.0,30,A,X,X
47765017707,"KIT, MIRRORS, RH, TI GREY, MAT",88,65.0,30,A,X,X
47765017708,"KIT, MIRRORS, RH, PWR RED, MAT",88,65.0,30,A,X,X
47765017801,"KIT, MIRRORS, RH, BLACK",88,65.0,30,A,X,X
47776853001,"INSTL, STEERING WHEEL",88,19.36,30,A,DR,DR
47776853002,"INSTL, STEERING WHL, PREM HEX",88,140.0,30,A,X,X
47778311001,"OPT, KEY SW, LSV, 1C",88,35.0,30,A,DR,DR
47778311002,"OPT, KEY SW, LSV, 1D",88,35.0,30,A,X,X
47778311003,"OPT, KEY SW, LSV, NS",88,35.0,30,A,X,X
47778311004,"OPT, KEY SW, LSV, 1E",88,35.0,30,A,X,X
47778311005,"OPT, KEY SW, LSV, 1F",88,35.0,30,A,X,X
47778311006,"OPT, KEY SW, LSV, 2A",88,35.0,30,A,X,X
47778311007,"OPT, KEY SW, LSV, 2B",88,35.0,30,A,X,X
47778311008,"OPT, KEY SW, LSV, 2C",88,35.0,30,A,X,X
47778311009,"OPT, KEY SW, LSV, 2D",88,35.0,30,A,X,X
47778311010,"OPT, KEY SW, LSV, 2E",88,35.0,30,A,X,X
47778311011,"OPT, KEY SW, LSV, 2F",88,35.0,30,A,X,X
47780063001,"INSTL, TIRE, F, MER50, GB, CC",88,250.0,30,A,DR,DR
47780064001,"INSTL, TIRE, R, MER50, GB, CC",88,250.0,30,A,DR,DR
